frame,time,hi,hi,Total Solar,+x,-x,+y,-y,RF,Clk,Batt Discharge,Batt V,H-Batt V,Batt Charge,Batt Temp,Baseplate Temp,PA Temp,+x F,+z F,5a,5b,5c,5d,6a,6b,6c,6d
45,18:52:21,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
46,18:52:24,hi,hi,0.0,-10,70,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
47,18:52:27,hi,hi,0.0,-10,150,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
48,18:52:30,hi,hi,0.0,-10,210,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
49,18:52:32,hi,hi,0.0,-10,170,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
50,18:52:38,hi,hi,0.0,-10,10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
51,18:52:41,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
52,18:52:43,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
53,18:52:46,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
54,18:52:49,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
55,18:52:52,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
